Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Four Roses Small Batch Limited Edition 2014,101,93,Bourbon,2,3,2,,4,4,,,,,2,,,,,3,
Four Roses Yellow Label,14.85,75.6,Bourbon,,,3,,,,,,,,,1,,,,,
George T Stagg,102.5,94.33333333,Bourbon,3,,4,,3,5,,,,,5,,,,,,
George T Stagg 2012,73.6,95,Bourbon,,4,,,,,,,6,,,,,1,,,
George T Stagg 2013,80,89.53846154,Bourbon,,6,3,,2,3,,1,3,,,,4,,,1,
George T Stagg 2014,95,94.44444444,Bourbon,6,1,,,8,1,,,,,15,2,,2,,,
Henry McKenna 10 Single Barrel,29.8125,83,Bourbon,,1,3,,,,1,,,,,,2,,,,1
High West American Prairie Reserve,32.038,84.08333333,Bourbon,3,,,,,,,,,,,,,,,,2
Jefferson's Presidential Select 18,93.25,90.33333333,Bourbon,,5,,,,,,,,,2,,,,,,
Jefferson's Very Small Batch,23,72.28571429,Bourbon,15,,,,,8,4,,,,4,,5,,,1,
Jim Beam Black 8 Double Aged,19.39384615,76.94117647,Bourbon,,4,2,,6,2,,,1,,,,,,,,
Jim Beam Bonded,23.42857143,83.14285714,Bourbon,2,3,,,3,,,,,,,,,,,,
Jim Beam Devil's Cut,18.46,76.77777778,Bourbon,4,9,5,,2,1,6,,,5,,,4,,2,,
Jim Beam Signature Craft 12,33.07857143,77.57142857,Bourbon,,,2,,1,,,,,,,,,,,,
Jim Beam Single Barrel,29.16666667,85.16666667,Bourbon,,1,2,,,2,,,1,,,2,,,,,
Jim Beam White Label,12.654,71.38095238,Bourbon,,,2,,3,,,,,,,,,,,,
John J. Bowman,43,90,Bourbon,3,6,2,,6,1,,,,,,2,,2,,,
Knob Creek 9 Small Batch,28.42,83.3,Bourbon,3,9,3,,7,2,,,,2,5,4,,,2,3,
Knob Creek Single Barrel,9.366,85.33333333,Bourbon,31,30,24,,26,16,19,1,9,3,8,3,6,4,2,6,4
Knob Creek Single Barrel Reserve,34.12727273,84.28571429,Bourbon,31,30,24,,26,16,19,1,9,3,8,3,6,4,2,6,4
Larceny Small Batch Bourbon,25.57142857,80.75,Bourbon,,2,2,,2,2,,,,,2,,,3,,1,
Maker's Mark,21.42882353,80.07142857,Bourbon,,,4,,4,2,2,1,,,,,2,,,,
Maker's Mark 46,27.99214286,84.85,Bourbon,,,,,,,,,,,,,,,,,
Maker's Mark Cask Strength,38.634375,87.30434783,Bourbon,8,12,3,,5,,,,,,3,9,4,,8,,1
Noah's Mill,46.71428571,86.41666667,Bourbon,2,10,6,,,7,,,,,,7,,1,,3,
Old Crow Reserve,11.75,70.2,Bourbon,,2,,,,4,3,,,2,,,,,,,
Old Ezra 101,16,86,Bourbon,,6,1,,6,10,,,,,,,2,2,,2,
Old Forester Birthday Bourbon 2013,50.83333333,91,Bourbon,2,5,5,,3,3,2,,4,3,,,,,2,1,
Old Forester Birthday Bourbon 2014,50.2,86,Bourbon,3,,5,,,,,,2,,,,,1,,,
Old Forester Signature,23.33333333,83.30769231,Bourbon,2,,5,,,2,,,,,,,,,,,
Old Grand Dad 100 Bottled in Bond,19.72,84.31034483,Bourbon,,1,,,,,,,,,2,,,,,,
Old Grand Dad 114,21.85384615,87.0625,Bourbon,,2,2,,2,1,,,,,,,,,,1,
Old Grand Dad 86,12,77.14285714,Bourbon,,,,,,,,,,,,,,,,,
Old Rip Van Winkle 10 Year,51.91153846,90.6,Bourbon,2,4,4,,1,4,,,1,3,,,3,1,,,
Old Weller Antique 107,24.17637931,87.17741935,Bourbon,,,,,,,,,,,,,,,,,
Orphan Barrel Barterhouse 20,77.58333333,84.35714286,Bourbon,,2,2,,,,,,2,2,,,,,,1,
Orphan Barrel Old Blowhard 26,172,83.77777778,Bourbon,1,3,1,,1,,,,1,,2,2,,,,,
Pappy Van Winkle Family Reserve Bourbon 15,143.1666667,93.4375,Bourbon,2,4,4,,1,4,,,1,3,,,3,1,,,
Pappy Van Winkle Family Reserve Bourbon 20,357.25,92.4,Bourbon,3,2,6,,6,2,3,,2,,,,,,,,
Parker's Heritage Collection Blend of Mashbills,68.15,91.16666667,Bourbon,6,5,4,,6,1,,,2,,2,1,2,1,4,2,
Parker's Heritage Collection Cognac Finished,90,92.66666667,Bourbon,,4,2,,,2,,,,,,,,1,,,
Parker's Heritage Collection Promise of Hope,95,89.5,Bourbon,,,,,3,1,2,2,,,2,,,,1,,
Rock Hill Farms Single Barrel Bourbon,61.28571429,85.75,Bourbon,3,1,4,,1,2,,,,,,2,,,,2,
Rowan's Creek,37.8,82.42857143,Bourbon,,,1,,3,4,,,,,1,,,,,,
Russell's Reserve 10,28.93375,83.53846154,Bourbon,7,6,8,,2,,,,,,1,,,,,,
Russell's Reserve Single Barrel,52.07142857,86.73333333,Bourbon,2,5,6,,6,2,,,,,,2,,1,2,,
Smooth Ambler Old Scout Bourbon 7 Year,35.16666667,83.75,Bourbon,3,3,,,3,1,,,,2,,4,2,,1,,
Stagg Jr,46.97045455,87,Bourbon,2,3,1,,1,4,,,2,,,,4,,,,
Van Winkle Special Reserve 12 Year Lot B,56.82,88,Bourbon,2,2,2,,,,,,,,,,,1,,,2
Very Old Barton Bottled In Bond,16.42857143,84.14285714,Bourbon,2,3,,,1,1,,,,2,,2,,,,2,
W.L. Weller 12,26.32837838,88.14,Bourbon,8,4,3,,3,2,,1,6,,,,,,,,
W.L. Weller Special Reserve,16.535,80.30434783,Bourbon,12,,,,5,1,3,3,,,,,,,,,
Wild Turkey 101,19.82230769,85.75510204,Bourbon,,,2,,,4,,,,,,,,,,,
Wild Turkey 81,11.15333333,76.85714286,Bourbon,,2,1,,,,,,,,,,,,,,
Wild Turkey Rare Breed,31.128,88.17241379,Bourbon,8,12,3,,5,,,,,,3,9,4,,8,,1
William Larue Weller,80.71428571,95.5,Bourbon,1,,3,,1,2,,,1,,3,1,,1,,,
Woodford Reserve,31.5,78.16666667,Bourbon,8,5,6,8,,7,3,5,7,12,2,5,8,,,10,
Woodford Reserve Distiller's Select,27.15466667,80.93333333,Bourbon,,2,5,,1,1,,,,,,,,,,,
Woodford Reserve Double Oaked,37.435,80.55555556,Bourbon,8,12,3,,5,,,,,,3,9,4,,8,,1
Hazelburn 8,54.544,82,Campbeltown,,,3,2,,1,,3,,,,,,,,1,2
Longrow 11 Red Cabernet Sauvignon Cask,0.7,90.16666667,Campbeltown,2,2,,,2,,,,,,1,2,,,,,
Longrow CV,52.81428571,85.7,Campbeltown,10,,1,5,3,1,,,2,25,,2,,1,,,5
Longrow Peated,42.25,82.78571429,Campbeltown,,,,,,,,1,,,2,,,2,,,
Longrow Red 11 Fresh Port Cask,74,90.28571429,Campbeltown,6,,,5,2,,,2,,,,6,,,,,
Springbank 10,52.9728,84.71111111,Campbeltown,3,,,,,,,4,,,,,,,,4,
Springbank 10 100 Proof,68,92,Campbeltown,2,,1,,,,,1,,2,,,,,,,1
Springbank 12 Calvados Wood,137.5,89.71428571,Campbeltown,4,2,1,,,,1,,,,2,,,,2,1,
Springbank 12 Cask Strength,75.77777778,88.57142857,Campbeltown,4,10,3,1,,1,2,1,,4,,7,,1,3,3,
Springbank 15,72.265,86.43333333,Campbeltown,,,,2,2,,5,,,,,1,,,2,,
Springbank 18,150,87.81818182,Campbeltown,6,,,1,,,,4,4,,6,1,,8,,3,
Springbank 21,450,91.875,Campbeltown,,,,,,,,2,2,,,,,,2,,
Springbank CV,39,83,Campbeltown,,,,3,,,,,,,,,,,,,
Alberta Premium Dark Horse,16.35333333,86.78947368,Canada,4,1,,1,,,,,,,2,,,,,,
Crown Royal Northern Harvest Rye,4.571428571,80,Canada,2,,,,,,2,,,,,,,,1,,
Crown Royal Special Reserve,0.5466666667,69,Canada,3,,4,,2,,,,2,,,,,,1,2,
Forty Creek Barrel Select,16.585,79,Canada,8,,1,,,,,,,,,,,,,,
Forty Creek Confederation Oak,23.78333333,82,Canada,,4,2,,,,,,,,,1,2,1,,,
Forty Creek Copper Pot Reserve,13.39,83.33333333,Canada,4,,1,,4,2,,,,,2,,,1,,,
Lot No. 40,19.24,87.41666667,Canada,6,4,4,,2,1,4,,,5,,,2,,,1,
Pike Creek 10,13.59666667,83,Canada,2,,,,,,,,2,,,,,,2,,
Stalk & Barrel Single Malt,0.8966666667,80,Canada,,5,,,2,2,2,,,,,2,,,2,,
Wiser's Legacy,29.606,86.5,Canada,3,,6,,,1,1,,,,,2,,,,,
Aberfeldy 12,40.41818182,77.75,Highland,6,7,4,2,,,2,3,5,,3,,,2,2,,1
Ardmore Traditional Cask Peated,49.08333333,78.90909091,Highland,4,1,,,,,,,,,,,2,,,,2
Clynelish 14,51.67,82.34210526,Highland,1,,1,,7,,,6,,,,3,,,,,
Dalmore 12,41.57666667,77.64516129,Highland,4,2,,3,,,,,,,,2,,,,6,
Dalmore 1263 King Alexander III,191.6666667,90,Highland,,3,1,,2,,,,2,2,,,,,,,
Dalmore 15,52.85666667,81.9047619,Highland,,,,,2,3,,,,,,2,,,,,
Dalmore Cigar Malt,63.1,86.25,Highland,4,2,,3,,,,,,,,2,,,,6,
Dalwhinnie 15,49.24742857,82.58181818,Highland,38,31,2,28,2,22,1,,,,13,6,4,21,6,3,5
Deanston 12,50,78.15384615,Highland,2,,,,,,1,4,,,,,,,,,
Deanston Virgin Oak,18.1625,74.61538462,Highland,,6,,,,,,1,,1,,,,,2,2,
Edradour 10,53.1,82.35,Highland,,1,,,,,,,,,,,,,,,
Glen Garioch 12,29.49333333,84.36363636,Highland,2,,1,,2,,,,,,,,,,,1,3
Glen Garioch Founder's Reserve,27.575,85.38461538,Highland,,,1,,2,,1,2,,,,,,,,,
Glengoyne 10,27.19666667,71.2,Highland,6,,,,,,,,,,,,,,4,,2
Glengoyne 12,,83.28571429,Highland,,2,,,,,,1,,,1,,,,,,
Glengoyne 17,55.6,81.73333333,Highland,2,1,,2,1,,,,,2,2,2,1,,,,1
Glengoyne 21,115,85.16666667,Highland,,,,,,1,,,4,,1,,,,,,
Glenlochy 31 Signatory 1980,432.6666667,90.33333333,Highland,,3,6,,,,6,1,,,,1,,,,,
Glenmorangie 10 Original,35.02014085,81.36082474,Highland,,,1,,2,,,2,,,,,,,,,
Glenmorangie 18,91,87.04761905,Highland,,,,,,,,,,2,,,,,,,2
